Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Lighten Up aka The Essence","Lighten Up Boulder > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/113978987/lighten-up-aka-the-essence,4.0,-1,Boulder,V9,1,15,47.84839,-121.60824
"Log Cabin Right","Bushcraft Boulder > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125251090/log-cabin-right,3.0,-1,Boulder,V9,1,12,47.54615,-120.74673
"Lonely Fish","Lonely Fish boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095899/lonely-fish,3.8,-1,Boulder,V8-9,1,15,47.53994,-120.70929
"Man About Town","Man About Town Boulder > Booka Boulders > **Middle Fork Boulders > Exit 34; Middle Fork & Taylor River > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123180057/man-about-town,4.0,-1,Boulder,V8-9,1,10,47.54872,-121.52295
Mercedes,"The Five Star Boulder > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/110818469/mercedes,3.0,-1,Boulder,V9,1,20,47.84284,-121.61072
Midnite,"Midnite Boulder > Lookout Trail Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108227734/midnite,4.0,-1,Boulder,V9,1,15,47.82318,-121.55852
"Ministry of Magic","Ministry of Magic Boulder > Prospect Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/113751765/ministry-of-magic,4.0,-1,Boulder,V9,1,,47.63856,-121.37776
"Mountain Man","Bushcraft Boulder > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122196911/mountain-man,3.2,-1,Boulder,V9,1,,47.54615,-120.74673
"Mr. Wenzel","Diamond Boulder/Best Crack Cave > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/113630197/mr-wenzel,4.0,-1,Boulder,V9,1,12,47.7603,-122.17718
Musashi,"Musashi boulder > The Egg > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105950812/musashi,3.8,-1,Boulder,V9,1,15,47.57192,-120.78939
Musk,"The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111233436/musk,2.5,-1,Boulder,V9,1,12,47.54305,-120.73494
"No Country For Old Men","Country wall bouldering > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123577494/no-country-for-old-men,4.0,-1,Boulder,V9-10,1,12,47.81876,-121.57069
Nutcracker,"Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443408/nutcracker,4.0,-1,"Boulder, Alpine","V8-9 R",1,,47.79356,-121.08888
Obi-Wan,"Star Wars Boulders > Mountain Home Road Boulders > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108144146/obi-wan,4.0,-1,Boulder,V9,1,15,47.54458,-120.66824
