Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Steam Roller Sit Project","Steam Roller Cave > The Crown Cluster > Whiteface Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119645450/steam-roller-sit-project,3.0,-1,Boulder,V11-12,1,,47.76095,-121.12897
"Steep North Face [Project]","Western Outliers > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443449/steep-north-face-project,4.0,-1,"Boulder, Alpine",V12+,1,,47.79325,-121.08937
Stinger,"Doja Boulder > Central Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118110858/stinger,3.0,-1,Boulder,V12,1,,47.84756,-121.6075
"Takes a Village","The Five Star Boulder > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118981711/takes-a-village,4.0,-1,Boulder,V13,1,,47.84284,-121.61072
"The Guillotine","Schist Cave > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123451560/the-guillotine,2.7,-1,Boulder,V11,1,20,47.66484,-120.71977
"The Monarch","The Monarch Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114328425/the-monarch,4.0,-1,Boulder,V11,1,10,47.54564,-120.73382
"The Peephole","Peephole Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/111279276/the-peephole,4.0,-1,Boulder,V11,1,,47.54254,-120.72295
"The Penrose Step","The Ladder Project Boulder > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119817214/the-penrose-step,4.0,-1,Boulder,V14,1,20,47.54597,-120.74839
"The Practitioner","Coffee Cup Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114328400/the-practitioner,4.0,-1,Boulder,V11,1,15,47.54575,-120.7329
"The Teacup","Teacup boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126116626/the-teacup,-1.0,-1,Boulder,V13,1,,47.54587,-120.7338
Toebriosity,"The Five Star Boulder > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120380515/toebriosity,3.5,-1,Boulder,V12,1,15,47.84284,-121.61072
"Tornado Arete","The Carnival Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125905360/tornado-arete,4.0,-1,Boulder,V12,1,,47.55558,-120.76821
Turbulence,"The Swiss Project Boulder > Icicle Buttress Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125932538/turbulence,4.0,-1,Boulder,V11-12,1,,47.54658,-120.74992
"Undone prow","Roman Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119908733/undone-prow,4.0,-1,Boulder,V12,1,,45.74506,-121.76217
"V-Hard Project","Tara Boulder > Roslyn > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123133167/v-hard-project,3.0,-1,Boulder,V12+,1,18,47.22444,-120.98636
"Vaporwave Direct [Project]","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443352/vaporwave-direct-project,3.0,-1,"Boulder, Alpine",V10-11,1,,47.79356,-121.08888
"Wishing Well","Wishing Well Boulder > Prospect Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/113751746/wishing-well,4.0,-1,Boulder,V11,1,,47.63896,-121.3772
